timestamp,id,rating,price,reviewsCount,beds,bathrooms,bedrooms,isSuperhost
"2023-08-07_21-00","751917427436717495",,112,1,1,1,1,false
"2023-08-07_21-00","29330456",4.23,146,13,1,1,1,true
"2023-08-07_21-00","737095469217662657",4.5,53,12,1,1,1,false
"2023-08-07_21-00","9171600",4.68,49,50,2,1,1,false
"2023-08-07_21-00","563837832132081096",4.97,539,38,2,2.5,3,true
"2023-08-07_21-00","23088181",4.64,78,14,1,1,1,false
"2023-08-07_21-00","759972342193609637",4.6,88,5,1,1,1,false
"2023-08-07_21-00","593271107049526753",,72,2,1,1,1,false
"2023-08-07_21-00","789695697557271156",,374,2,2,2,2,false
"2023-08-07_21-00","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-07_21-00","900722207959994655",,201,0,2,1,2,false
"2023-08-07_21-00","670259093980803412",3,103,3,2,1,1,false
"2023-08-07_21-00","35800034",5,161,5,0,2,1,false
"2023-08-07_21-00","10093174",4.61,128,18,2,1,0,false
"2023-08-07_21-00","720661266843033969",,128,0,8,1,3,false
"2023-08-07_21-00","911513348279190365",,361,0,3,3.5,3,false
"2023-08-07_21-00","49289146",4.66,127,35,1,1,1,false
"2023-08-07_21-00","4975295",4.82,1068,165,5,1,3,true
"2023-08-07_21-00","700436264175104429",,124,2,1,1,1,false
"2023-08-07_21-00","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-07_21-00","1135017",4.82,1531,244,5,1,2,true
"2023-08-07_21-00","52928658",,101,1,1,1,1,false
"2023-08-07_21-00","738223953699753093",,494,2,8,4.5,5,false
"2023-08-07_21-00","16590727",4.72,340,18,5,4,3,false
"2023-08-07_21-00","45283136",,405,2,11,3,4,false
"2023-08-07_21-00","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-07_21-00","362397",,108,2,2,1.5,1,false
"2023-08-07_21-00","23088751",4.8,220,5,3,1,2,false
"2023-08-07_21-00","681106077934707988",,82,1,1,1,1,false
"2023-08-07_21-00","360703",,106,1,1,1,1,false
"2023-08-07_21-00","932440401477692504",,232,0,5,2,4,false
"2023-08-07_21-00","691080858048733845",4.67,177,3,2,1,1,false
"2023-08-07_21-00","824275397791228912",,491,2,4,1,3,false
"2023-08-07_21-00","2525482",,217,0,1,1,1,false
"2023-08-07_21-00","9274563",,71,0,1,1,1,false
"2023-08-07_21-00","653382334393547615",,99,1,1,1.5,0,false
"2023-08-08_15-30","712680930560078839",3.5,61,8,2,1.5,1,false
"2023-08-08_15-30","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-08_15-30","38779697",5,140,17,3,1,1,true
"2023-08-08_15-30","679491137006544063",,158,1,1,1,1,false
"2023-08-08_15-30","751917427436717495",,113,1,1,1,1,false
"2023-08-08_15-30","29330456",4.23,147,13,1,1,1,true
"2023-08-08_15-30","751916605731914160",,118,1,1,1,1,false
"2023-08-08_15-30","737095469217662657",4.5,54,12,1,1,1,false
"2023-08-08_15-30","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-08_15-30","751917107410265445",,124,1,1,1,1,false
"2023-08-08_15-30","9171600",4.68,49,50,2,1,1,false
"2023-08-08_15-30","563837832132081096",4.97,544,38,2,2.5,3,true
